,Unnamed,iso_code,country,W1_new_cases_per_million,W1_new_deaths_per_million,W2_new_cases_per_million,W2_new_deaths_per_million,W3_new_cases_per_million,W3_new_deaths_per_million,W4_new_cases_per_million,W4_new_deaths_per_million,W5_new_cases_per_million,W5_new_deaths_per_million,W6_new_cases_per_million,W6_new_deaths_per_million,W7_new_cases_per_million,W7_new_deaths_per_million,W8_new_cases_per_million,W8_new_deaths_per_million,W9_new_cases_per_million,W9_new_deaths_per_million,W10_new_cases_per_million,W10_new_deaths_per_million,W11_new_cases_per_million,W11_new_deaths_per_million,W12_new_cases_per_million,W12_new_deaths_per_million,W13_new_cases_per_million,W13_new_deaths_per_million,W14_new_cases_per_million,W14_new_deaths_per_million,W15_new_cases_per_million,W15_new_deaths_per_million,W16_new_cases_per_million,W16_new_deaths_per_million,W17_new_cases_per_million,W17_new_deaths_per_million,W18_new_cases_per_million,W18_new_deaths_per_million,W19_new_cases_per_million,W19_new_deaths_per_million,W20_new_cases_per_million,W20_new_deaths_per_million,W21_new_cases_per_million,W21_new_deaths_per_million,W22_new_cases_per_million,W22_new_deaths_per_million,W23_new_cases_per_million,W23_new_deaths_per_million,W24_new_cases_per_million,W24_new_deaths_per_million,W25_new_cases_per_million,W25_new_deaths_per_million,W26_new_cases_per_million,W26_new_deaths_per_million,W27_new_cases_per_million,W27_new_deaths_per_million,W28_new_cases_per_million,W28_new_deaths_per_million,W29_new_cases_per_million,W29_new_deaths_per_million,W30_new_cases_per_million,W30_new_deaths_per_million,W31_new_cases_per_million,W31_new_deaths_per_million,W32_new_cases_per_million,W32_new_deaths_per_million,W33_new_cases_per_million,W33_new_deaths_per_million,W34_new_cases_per_million,W34_new_deaths_per_million,W35_new_cases_per_million,W35_new_deaths_per_million,W36_new_cases_per_million,W36_new_deaths_per_million,W37_new_cases_per_million,W37_new_deaths_per_million,W38_new_cases_per_million,W38_new_deaths_per_million,W39_new_cases_per_million,W39_new_deaths_per_million,W40_new_cases_per_million,W40_new_deaths_per_million,W41_new_cases_per_million,W41_new_deaths_per_million,W42_new_cases_per_million,W42_new_deaths_per_million,W43_new_cases_per_million,W43_new_deaths_per_million,W44_new_cases_per_million,W44_new_deaths_per_million,W45_new_cases_per_million,W45_new_deaths_per_million,W46_new_cases_per_million,W46_new_deaths_per_million,W47_new_cases_per_million,W47_new_deaths_per_million,W48_new_cases_per_million,W48_new_deaths_per_million,W49_new_cases_per_million,W49_new_deaths_per_million,W50_new_cases_per_million,W50_new_deaths_per_million,W51_new_cases_per_million,W51_new_deaths_per_million,W52_new_cases_per_million,W52_new_deaths_per_million,W53_new_cases_per_million,W53_new_deaths_per_million,W54_new_cases_per_million,W54_new_deaths_per_million,W55_new_cases_per_million,W55_new_deaths_per_million,W56_new_cases_per_million,W56_new_deaths_per_million,W57_new_cases_per_million,W57_new_deaths_per_million,W58_new_cases_per_million,W58_new_deaths_per_million,W59_new_cases_per_million,W59_new_deaths_per_million,W60_new_cases_per_million,W60_new_deaths_per_million
1,1,AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0.004333333,0,0.011,0,0.040428571,0,0.055142857,0,0.282714286,0.014857143,0.708285714,0.022,0.939571429,0.029428571,1.387285714,0.044142857,1.945,0.062428571,3.691857143,0.091714286,5.769,0.157571429,8.664,0.194285714,13.20371429,0.179714286,16.613,0.121285714,18.44428571,0.297428571,16.70471429,0.454857143,15.86071429,0.433,7.992714286,0.524714286,7.545285714,0.410857143,6.216571429,0.616571429,3.387,0.623857143,2.741285714,0.304571429,2.473285714,0.132285714,1.269857143,0.11,1.820142857,0.205571429,1.475428571,0.054857143,0.693714286,0.062428571,0.700857143,0.025714286,1.163285714,0.040285714,1.020428571,0.066142857,1.001857143,0.058714286,0.385285714,0.033,1.49,0.040428571,1.607285714,0.055142857,2.301,0.084285714,2.411142857,0.091714286,2.231142857,0.077,3.677,0.179857143,5.387142857,0.256714286,4.921285714,0.271428571,4.506571429,0.410857143,4.246,0.337714286,5.328285714,0.334,4.422142857,0.374285714,2.348571429,0.154142857,6.877142857,0.268,1.974428571,0.264285714,2.278857143,0.135857143,1.647714286,0.099142857,1.181571429,0.029571429,0.524571429,0.069714286,0.392571429,0.011,0.466142857,0.047714286,0.488142857,0.022
2,2,ALB,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886285714,0.049571429,1.886285714,0.049571429,6.006428571,0.397,6.751142857,0.496142857,4.964,0.148714286,5.708571429,0.148714286,8.141142857,0.049571429,3.822285714,0.198428571,3.326,0,3.822428571,0,2.779714286,0,6.602142857,0.099142857,5.460428571,0.049571429,11.51657143,0.099142857,21.19671429,0.347142857,21.79257143,0.496285714,24.27457143,1.042285714,27.40185714,0.744571429,31.62128571,1.092,31.22442857,1.141428571,37.67771429,1.340285714,43.63442857,1.588428571,48.89642857,1.588285714,50.38585714,0.992714286,49.83971429,1.489,40.85457143,1.836571429,53.76157143,0.893285714,51.67628571,1.389857143,46.01728571,0.843714286,47.85414286,0.843571429,55.3,1.191285714,76.59614286,1.588285714,103.452,1.240857143,100.1261429,1.786857143,140.4841429,2.382571429,175.1337143,2.730142857,246.3687143,3.623571429,228.0514286,5.063428571,265.9771429,5.063285714,277.6924286,4.964142857,238.2772857,4.219428571,159.497,3.425142857,160.6384286,2.333,200.6492857,2.134285714,207.6487143,1.836571429,209.7335714,1.985428571,288.4147143,2.928571429,345.5515714,3.822142857,385.9594286,4.815285714,351.2107143,5.460428571,355.0828571,6.056,291.0457143,7.098571429
3,3,DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0.052285714,0,0.065285714,0.009857143,0.332142857,0.039142857,1.026142857,0.045714286,2.596428571,0.329,1.87,0.472428571,2.309857143,0.299571429,2.352285714,0.169142857,3.384714286,0.130428571,4.114571429,0.114142857,4.114571429,0.156428571,4.209142857,0.163142857,3.759428571,0.175714286,2.551,0.169285714,2.475857143,0.201714286,2.674571429,0.251,4.355571429,0.179142857,8.248714286,0.175714286,10.46385714,0.188857143,12.50014286,0.208714286,13.73142857,0.254,13.637,0.250714286,12.19385714,0.227857143,11.20685714,0.218142857,9.561714286,0.208571429,8.838285714,0.218142857,7.460428571,0.188857143,6.307,0.182428571,5.264571429,0.195428571,4.205857143,0.149857143,3.521571429,0.146571429,3.078428571,0.127,4.114714286,0.166,5.463285714,0.198571429,6.717571429,0.185571429,11.20342857,0.234571429,17.71571429,0.335428571,22.65785714,0.377714286,24.23128571,0.449714286,20.49157143,0.352,13.47414286,0.270428571,10.23914286,0.244285714,10.02085714,0.205285714,7.315206977,0.153142857,5.714142857,0.110714286,5.531714286,0.091,5.727142857,0.097571429,5.711,0.087857143,4.909571429,0.068285714,6.137571429,0.084714286,4.075428571,0.074857143,3.896285714,0.068142857,3.726714286,0.100857143
4,4,AGO,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.012857143,0,0.021714286,0.008590765,0.039142857,0,0.021714286,0,0.004285714,0,0.043285714,0,0.034714286,0,0.021714286,0,0.056571429,0.008510681,0.099714286,0,0.017428571,0,0.217142857,0.008449933,0.165428571,0.012735648,0.360571429,0.004224967,0.378142857,0.038939252,0.504142857,0.017040699,0.978,0.025857143,0.995428571,0.043428571,1.078,0.065,1.773428571,0.069285714,1.334714286,0.069200868,1.108285714,0.034406498,1.812571429,0.056367824,1.669,0.042732911,1.738571429,0.064219493,2.460285714,0.06428024,3.351285714,0.102807521,3.034142857,0.094357588,3.807714286,0.134583667,5.285571429,0.099857143,6.798,0.113,7.732571429,0.073857143,6.650428571,0.082428571,4.516142857,0.082571429,4.516142857,0.060365087,2.929714286,0.038735648,1.951571429,0.038796395,2.716714286,0.051262928,2.021142857,0.086857143,2.273285714,0.056285714,1.995,0.034610102,2.381857143,0.038447196,2.647142857,0.064774321,2.616714286,0.111398287,1.804,0.029997263,1.217,0.047530018,1.160571429,0.069244304,0.738857143,0.030285714,1.23,0.034571429,1.186571429,0.026
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025285714,0,0.082285714,0.006285714,0.391857143,0.006285714,1.681571429,0.044285714,2.405285714,0.079142857,1.656285714,0.126428571,2.474857143,0.145571429,3.230428571,0.177,2.848,0.164571429,3.461285714,0.199142857,6.413285714,0.199142857,11.21471429,0.259142857,15.365,0.262428571,18.352,0.379285714,26.156,0.528,34.48157143,0.559428571,52.28042857,0.679428571,55.73214286,0.866142857,69.959,1.039857143,79.06871429,1.295714286,113.19,2.127142857,120.773,2.222142857,143.0854286,2.930142857,149.4734286,3.521142857,150.779,3.827857143,203.6758571,4.757142857,223.0518571,4.381142857,236.0365714,4.817,241.6565714,4.855,251.4457143,8.673285714,279.2108571,16.60085714,294.1617143,8.806142857,301.03,7.984285714,323.0927143,7.921142857,270.5308571,7.551285714,221.0288571,7.415428571,214.9221429,6.192285714,193.8738571,5.041428571,149.1698571,4.488571429,146.8435714,4.140714286,109.9028571,3.274571429,134.548,3.461,129.9045714,2.332714286,178.7998571,2.762428571,251.5248571,3.293428571,245.1872857,2.775285714,221.9327143,4.558,189.8787143,3.774142857,172.0292857,3.726571429,141.8085714,3.407571429,123.5008571,2.952,137.7245714,2.604571429,134.3898571,2.920571429
6,6,ARM,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048142857,0,0.819571429,0,6.845857143,0,11.908,0.048142857,17.5,0.289142857,9.497285714,0.289,13.54714286,0.337142857,20.682,0.385571429,28.733,0.240857143,43.48528571,0.530142857,53.41642857,0.529857143,97.33571429,1.060285714,126.551,2.410428571,165.6977143,3.037285714,175.4838571,3.567571429,178.5691429,3.278285714,202.5298571,4.290714286,192.4055714,2.699857143,168.3488571,3.953142857,148.0042857,3.471142857,122.164,3.326714286,88.94728571,2.362285714,64.794,1.735571429,63.15485714,1.542428571,54.04328571,1.590857143,48.69185714,1.060428571,49.31871429,1.108714286,49.46342857,0.771142857,71.30228571,0.819285714,92.46657143,0.964142857,137.5428571,1.156857143,183.7277143,2.121142857,350.1964286,2.458714286,603.7322857,4.339142857,688.9191429,8.870714286,695.9578571,9.256142857,559.5238571,9.883142857,433.1175714,9.304714286,422.0772857,9.159857143,355.0655714,9.063428571,306.2774286,7.376142857,282.558,7.424285714,201.3244286,6.556571429,118.0658571,4.049714286,96.22685714,4.146285714,117.6804286,3.133714286,80.70342857,2.265714286,47.82428571,1.783714286,49.94542857,2.072857143,52.30771429,1.253285714,58.43057143,0.915714286,75.15928571,1.494428571,118.789,1.398
7,7,AUS,Australia,0,0,0,0,0.067285714,0,0.016714286,0,0,0,0,0,0.056,0,0.213,0.011035263,1.047714286,0.005517632,4.599285714,0.02217812,14.39214286,0.039142857,10.70014286,0.089428571,4.218571429,0.151285714,1.484714286,0.056,0.706,0.072153645,0.588428571,0.078122944,0.784285714,0.016606692,0.588142857,0.005571429,0.392142857,0.022285714,0.437,0.005571429,0.375428571,0,0.341714286,0,0.79,0,1.260428571,0.011035263,4.241,0,7.585571429,0.022285714,11.23271429,0.078428571,14.57157143,0.184714286,19.56314286,0.297,17.86542857,0.487428571,12.34171429,0.566,8.537857143,0.591889506,4.812285714,0.604675839,3.406,0.793210484,2.089571429,0.319428571,1.383714286,0.218571429,0.795285714,0.128685562,0.532285714,0.123285714,0.717,0.022285714,0.711571429,0.033571429,0.689,0.005517632,0.459428571,0.011035263,0.353,0,0.296857143,0,0.616285714,0,0.397857143,0,0.408857143,0.005571429,0.364142857,0,0.773285714,0,0.784285714,0,0.986,0.005571429,0.621714286,0,0.632857143,0,0.324857143,0,0.252142857,0,0.224142857,0,0.263285714,0,0.156571429,0,0.246571429,0,0.358571429,0
8,8,AUT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0.1998,0,1.110142857,0,9.136428571,0.015857143,34.24557143,0.111,86.55757143,0.951162666,55.67471429,1.867768041,32.12014286,2.392811384,13.72042857,1.678488229,7.566,1.475142857,6.503428571,0.951571429,4.362,0.300917828,5.837142857,0.221550361,4.520714286,0.158274147,3.156571429,0.458814219,3.378428571,0.063302227,2.855,0.079222542,3.886285714,0.174428571,4.076428571,0.190285714,9.279,0.079285714,9.802571429,0.015857143,12.53071429,0.079285714,12.13428571,0.122239883,13.86328571,0.094897599,11.21442857,0.047530552,19.98571429,0.111,29.86757143,0.063428571,30.50228571,0.015857143,33.34157143,0.031714286,57.245,0.301285714,75.78742857,0.174142437,75.18471429,0.347998741,82.76657143,0.347976445,110.8894286,0.680099462,138.1714286,0.649161826,236.2605714,1.204099934,426.6171429,2.284,670.872,4.250857143,810.0748571,5.851017342,692.6978571,9.222903445,534.5247143,10.93921516,396.9877143,11.71361778,303.4824286,10.437,275.7881429,12.58077184,210.5648571,10.05642857,219.1774286,6.851570589,234.2618571,6.531504182,213.1817143,5.805428571,174.495,5.328581119,153.7955714,4.970278747,147.7362857,4.604694601,155.1435714,3.185843517,178.1747143,2.743488468,218.5905714,2.695671782,246.7134286,2.474571429
9,9,AZE,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126857143,0,0.084571429,0.014142857,0.535428571,0,1.817571429,0.042428571,4.776428571,0.014142857,7.566285714,0.084714286,4.438285714,0.098714286,3.438142857,0.042428571,3.902857143,0.056571429,7.439428571,0.084571429,10.08814286,0.070571429,11.89157143,0.183285714,17.80928571,0.169,28.08057143,0.324,32.84314286,0.436857143,37.591,0.465142857,51.45528571,0.634,55.10457143,0.676142857,52.41342857,0.803142857,50.89171429,0.718428571,35.22385714,0.831428571,35.56214286,0.648142857,18.65457143,0.479142857,8.820285714,0.253571429,14.06142857,0.126857143,15.06171429,0.197285714,14.34342857,0.225285714,13.80785714,0.197428571,12.258,0.211285714,12.01857143,0.155,9.383571429,0.141,16.78085714,0.183142857,36.13971429,0.211428571,66.165,0.577714286,88.14471429,0.93,119.466,1.324428571,136.4015714,1.719,232.042,2.268428571,339.9401429,3.043285714,398.7081429,3.804142857,410.008,4.085857143,390.3388571,4.114142857,198.1705714,3.931142857,88.342,3.508142857,64.64328571,2.634714286,40.87385714,1.521714286,24.47371429,1.042714286,19.41557143,0.760714286,13.46971429,0.422857143,13.70928571,0.31,13.77957143,0.239428571,18.23185714,0.324142857,29.55985714,0.281714286
10,10,BHS,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.695333333,0,2.179714286,0,6.539,1.453142857,6.539,1.453142857,3.269571429,0.363285714,8.355428571,0.726571429,1.816428571,0,3.269571429,0,1.453142857,0,1.453142857,0,0.726571429,0,0.363285714,0,0,0,0.363285714,0,0,0,0,0,2.543,0,9.808571429,0,68.29557143,0,99.174,1.089857143,101.3535714,0,135.8647143,1.089857143,186.36,3.632857143,134.4118571,8.355428571,123.8767143,1.816428571,164.2002857,4.359428571,103.8965714,2.179714286,209.2462857,5.812571429,196.895,2.543,251.023,3.632857143,219.7814286,3.632857143,232.496,5.086,162.0205714,5.086,84.643,2.906285714,78.46728571,1.089857143,84.27985714,2.906142857,36.69085714,0,26.88242857,0,28.33542857,0,30.87828571,0.363285714,19.98014286,1.816428571,35.96428571,0.726571429,29.78857143,1.453142857,22.88614286,0,25.06585714,0,26.519,0.363285714,29.78842857,0,19.98014286,0.726571429,33.42128571,0.363285714,42.14,0,29.42528571,0.726571429
