Country Name,Country Code,Population density (people per sq. km of land area) ,"Population, total",Male %,Female %,Urban %,Rural %,Age 65 and above % 
Afghanistan,AFG,55.59599302,36296400,51.38838428,48.61161572,25.25,74.75,2.55425147
Albania,ALB,104.8706934,2873457,50.95360223,49.04639777,59.383,40.617,13.3290733
Algeria,DZA,17.37771461,41389198,50.51261956,49.48738044,72.052,27.948,6.177204873
American Samoa,ASM,278.1,55620,50.43098575,49.56901425,87.17,12.83,7.022274619
Andorra,AND,163.8319149,77001,48.82072782,51.17927218,88.15,11.85,17.68769666
Angola,AGO,23.91653806,29816748,49.46652335,50.53347665,64.839,35.161,2.239196565
Antigua and Barbuda,ATG,216.8772727,95426,48.1907257,51.8092743,24.713,75.287,8.575231069
Argentina,ARG,16.09419079,44044811,48.75101005,51.24898995,91.749,8.251,10.98970711
Armenia,ARM,103.4355111,2944809,47.04452509,52.95547491,63.103,36.897,11.09664489
Aruba,ABW,585.3666667,105366,47.48721064,52.51278936,43.293,56.707,13.07347721
Australia,AUS,3.198361419,24601860,49.80204086,50.19795914,85.904,14.096,15.40402089
Austria,AUT,106.6074453,8797566,49.0956929,50.9043071,58.094,41.906,18.95657332
Azerbaijan,AZE,119.1972058,9854033,49.84492118,50.15507882,55.343,44.657,5.989688502
"Bahamas, The",BHS,38.13796204,381761,48.56175131,51.43824869,82.925,17.075,7.060549305
Bahrain,BHR,1920.403524,1494074,62.90505777,37.09494223,89.186,10.814,2.372302346
Bangladesh,BGD,1226.631274,159670593,50.64273714,49.35726286,35.858,64.142,5.149475008
Barbados,BRB,665.6581395,286233,48.29105367,51.70894633,31.159,68.841,15.4109254
Belarus,BLR,46.79224208,9498264,46.54241858,53.45758142,78.134,21.866,14.5751252
Belgium,BEL,375.6657199,11375158,49.30935453,50.69064547,97.961,2.039,18.58407909
Belize,BLZ,16.47387111,375769,49.84259198,50.15740802,45.601,54.399,4.615867727
Benin,BEN,99.10610145,11175204,49.88099533,50.11900467,46.768,53.232,3.243951472
Bermuda,BMU,1182.833312,63873,49.02479952,50.97520048,100,0,10.18029878
Bhutan,BTN,19.54614144,745568,52.91289938,47.08710062,40.167,59.833,5.924918484
Bolivia,BOL,10.33218314,11192854,50.23283161,49.76716839,69.08,30.92,7.045878822
