Country Name,Country Code,GDP per capita,Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure per capita,Current health expenditure (% of GDP),Out-of-pocket expenditure per capita
Afghanistan,AFG,556.3020024,2.319115587,8.872551918,11.77719384,132.7504578
Albania,ALB,4531.020806,14.67889696,542.3016968,8.061648756,712.0040886
Algeria,DZA,4044.2766,10.73412299,642.9314575,6.374321878,317.2886047
Andorra,AND,38962.88035,14.01755512,2567.924316,10.32055244,2187.965332
Angola,AGO,4095.812942,5.428365618,86.01074982,2.791500278,63.4152832
Antigua and Barbuda,ATG,15383.41519,9.478637576,503.6361084,4.533531889,374.6073303
Argentina,ARG,14591.86338,16.05131179,1388.164551,9.124314785,287.8306885
Armenia,ARM,3914.501268,5.273468047,132.5882874,10.36270484,844.3825073
Australia,AUS,54066.47127,17.79732704,3318.948975,9.205947816,874.2332153
Austria,AUT,47549.07904,15.3053984,4066.576172,10.39661691,1078.723511
Azerbaijan,AZE,4147.089716,2.814341895,175.8282776,6.651829183,975.9697876
"Bahamas, The",BHS,31827.2427,11.25084981,770.4127808,5.758889019,544.0968018
Bahrain,BHR,23709.43047,8.493837714,1313.36792,4.748104885,692.0927124
Bangladesh,BGD,1563.913857,2.994463034,15.74215698,2.274248749,69.67479706
Barbados,BRB,17391.42587,9.0802975,593.7203979,6.779126823,621.9642334
Belarus,BLR,5761.74712,10.61909571,789.9685669,5.92578575,310.6755371
Belgium,BEL,44288.50804,15.31389654,3952.81543,10.33866927,902.9138184
Belize,BLZ,4887.577208,10.99099591,326.9853516,5.642822757,116.1917038
Benin,BEN,1136.592847,4.575169459,25.38215256,3.718582168,38.07595444
Bhutan,BTN,3286.574703,7.900569588,216.4191742,3.186962381,38.64513397
Bolivia,BOL,3351.12404,11.52297035,336.9350281,6.443160772,123.3020248
Bosnia and Herzegovina,BIH,5394.59122,15.47477245,826.3132324,8.931667358,341.619751
Botswana,BWA,7893.210108,14.31547403,790.111145,6.134568155,31.25834846
Brazil,BRA,9925.386238,10.25529578,616.5612183,9.467476606,404.208313
Brunei Darussalam,BRN,28572.14678,6.153300032,1777.892456,2.373207733,97.05889893
Bulgaria,BGR,8331.058025,11.98597699,876.4478149,8.095603436,786.5927734
Burkina Faso,BFA,738.2741589,9.991507232,55.8873291,6.915059686,40.88446045
Burundi,BDI,292.9976307,8.521398902,14.62784576,7.517570257,15.07119656
