Country Name,Country Code,Life expectancy at birth,"Life expectancy at birth, male","Life expectancy at birth, female","Death rate, crude (per 1,000 people)","Mortality rate, adult, female","Mortality rate, adult, male (per 1,000 male adults)"
Afghanistan,AFG,64.13,62.701,65.656,6.575,198.184,240.314
Albania,ALB,78.333,76.601,80.148,7.714,49.884,94.45
Algeria,DZA,76.499,75.307,77.735,4.717,81.785,104
Angola,AGO,60.379,57.677,63.252,8.432,199.981,273.435
Antigua and Barbuda,ATG,76.752,75.571,77.871,6.316,104.385,149.822
Argentina,ARG,76.372,72.924,79.726,7.616,80.283,148.705
Armenia,ARM,74.797,71.115,78.165,9.862,73.176,171.999
Aruba,ABW,76.01,73.488,78.372,8.907,69.451,112.03
Australia,AUS,82.5,80.5,84.6,6.5,44.673,75.835
Austria,AUT,81.64390244,79.4,84,9.5,41.779,79.032
Azerbaijan,AZE,72.693,70.128,75.215,5.8,89.884,150.322
"Bahamas, The",BHS,73.554,71.3,75.718,6.72,116.318,194.617
Bahrain,BHR,77.032,76.188,78.143,2.368,57.204,72.491
Bangladesh,BGD,72.052,70.409,73.978,5.533,103.84,145.697
Barbados,BRB,78.981,77.562,80.307,8.936,72.178,121.021
Belarus,BLR,74.12926829,69.3,79.2,12.6,82.559,234.903
Belgium,BEL,81.49268293,79.2,83.9,9.6,49.29,82.796
Belize,BLZ,74.365,71.533,77.453,4.681,123.552,216.13
Benin,BEN,61.174,59.633,62.687,9.025,214.232,260.724
Bhutan,BTN,71.129,70.822,71.444,6.243,199.129,200.683
Bolivia,BOL,70.945,68.173,73.878,6.795,146.068,211.993
Bosnia and Herzegovina,BIH,77.128,74.622,79.581,10.563,62.81,123.61
Botswana,BWA,68.812,65.79,71.559,5.834,163.438,250.771
Brazil,BRA,75.456,71.804,79.156,6.378,92.313,188.596
Brunei Darussalam,BRN,75.585,74.454,76.819,4.345,71,100.049
Bulgaria,BGR,74.81463415,71.4,78.4,15.5,86.496,183.956
Burkina Faso,BFA,60.768,59.981,61.43,8.341,232.742,264.673
Burundi,BDI,60.898,59.092,62.675,8.106,257.341,314.753
Cabo Verde,CPV,72.57,69.089,75.812,5.682,98.03,143.523
