Country Name,Country Code,People using at least basic sanitation services (% of population),"People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban (% of urban population) ","Incidence of tuberculosis (per 100,000 people)"
Afghanistan,AFG,43.41761001,37.05230367,62.26143773,189
Albania,ALB,97.71836838,96.88553266,98.28801438,20
Algeria,DZA,87.58657093,82.20923774,89.67236867,70
Andorra,AND,99.99999628,100,100,1.5
Angola,AGO,49.87697876,23.23276846,64.3256498,359
Armenia,ARM,93.64230727,83.21558421,99.73892328,36
Austria,AUT,99.97290961,100,99.95336801,7.3
Azerbaijan,AZE,92.51144535,87.63876172,96.44327863,66
Bangladesh,BGD,48.23324272,46.85735758,50.69439557,221
Belarus,BLR,97.79095198,96.26100388,98.21911502,37
Belize,BLZ,87.85852355,83.4993864,93.05868755,36
Benin,BEN,16.45292057,7.621410798,26.50506959,58
Bhutan,BTN,69.25393545,67.01143797,72.59437296,145
Bolivia,BOL,60.71693757,36.07588417,71.74619747,111
Bosnia and Herzegovina,BIH,95.36023531,92.13910087,98.86717837,29
Brazil,BRA,88.29384941,60.1461436,92.75885347,44
Bulgaria,BGR,86.00369811,83.7142371,86.7803838,25
Burkina Faso,BFA,19.40208709,11.34405242,39.37882555,49
Burundi,BDI,45.82120487,46.42059117,41.70324682,114
Cambodia,KHM,59.22696598,48.30446465,95.83492605,326
Cameroon,CMR,39.07555016,17.79580116,55.947277,194
Canada,CAN,99.28601285,98.73971441,99.41125685,5.6
Central African Republic,CAF,25.31967074,9.053506349,49.10019667,540
Chad,TCD,8.342483278,1.889748792,30.1194044,143
Chile,CHL,100.0000014,100,100,17
China,CHN,84.76078771,76.43906586,90.79676437,62
Colombia,COL,89.62535776,76.17925959,92.89369701,33
Comoros,COM,35.85662412,32.06542437,45.23662961,35
"Congo, Dem. Rep.",COD,20.45597686,18.16789608,23.3823009,322
"Congo, Rep.",COG,20.17287892,6.256849689,27.19611854,376
Costa Rica,CRI,97.81836025,95.77559045,98.3758607,9.6
Cote d'Ivoire,CIV,32.13490714,18.02000361,46.06694395,148
Croatia,HRV,96.53844584,94.82484509,97.84882859,10
Cuba,CUB,92.81024176,94.79409843,92.21689641,7.2
Cyprus,CYP,99.15231146,98.38598333,99.53256707,5.1
Czech Republic,CZE,99.13409923,99.24985333,99.09274194,5.4
Djibouti,DJI,63.60535725,19.42010131,76.32466501,272
Dominican Republic,DOM,83.89320632,73.575381,86.42816224,46
