Country Name,Country Code,"International tourism, number of arrivals","Air transport, passengers carried ",Net migration
Albania,ALB,4643000,204090,-69998
Algeria,DZA,2451000,6230157,-50002
Angola,AGO,261000,1375523,32066
Antigua and Barbuda,ATG,247000,590517,0
Argentina,ARG,6711000,16749271,24000
Armenia,ARM,1495000,0,-24989
Aruba,ABW,1070500,223502,1004
Australia,AUS,8815000,74257326,791229
Austria,AUT,29460000,16171640,324998
Azerbaijan,AZE,2454000,2331308,6002
"Bahamas, The",BHS,1442000,921470,4999
Bahrain,BHR,11374000,5190484,239000
Bangladesh,BGD,1026000,4660739.038,-1847503
Belarus,BLR,11060200,2493100,43648
Belgium,BEL,8385000,13676844,240000
Belize,BLZ,427000,1285642,6000
Benin,BEN,281000,899,-10000
Bhutan,BTN,255000,254643,1600
Bolivia,BOL,1109000,4053427.35,-47520
Bosnia and Herzegovina,BIH,923000,7071,-107926
Botswana,BWA,1623000,223673,14999
Brazil,BRA,6589000,96395709,106000
Brunei Darussalam,BRN,259000,1172201,0
Bulgaria,BGR,8883000,1133069,-24001
Burkina Faso,BFA,143000,145049,-125000
Cabo Verde,CPV,668000,336718,-6709
Cambodia,KHM,5602000,1305297,-149999
Cameroon,CMR,1081000,236000,-24000
Canada,CAN,20883000,91404001,1210159
Chad,TCD,87000,28332,10000
Chile,CHL,6450000,17664974,558539
China,CHN,60740000,551234509,-1741996
Colombia,COL,3631000,32504898,1023981
"Congo, Dem. Rep.",COD,351000,959738,119303
"Congo, Rep.",COG,149000,333899,-20000
Costa Rica,CRI,2960000,1822880,21000
Cote d'Ivoire,CIV,1800000,808471,-40000
Croatia,HRV,15593000,2057804,-40004
Cuba,CUB,4594000,942785,-72000
Cyprus,CYP,3652000,711554,25000
Czech Republic,CZE,10160000,5450671,110057
Denmark,DNK,12426000,24813416,75998
Dominican Republic,DOM,6188000,11903,-150000
Ecuador,ECU,1806000,5121235,182000
"Egypt, Arab Rep.",EGY,8157000,11748510,-190164
El Salvador,SLV,1556000,2670560,-202694
Eritrea,ERI,142000,102729,-199290
Estonia,EST,3244000,13103,19555
Eswatini,SWZ,921000,2212046,-41764
Ethiopia,ETH,933000,9566378,150002
Fiji,FJI,843000,1557876,-31008
Finland,FIN,3180000,12209646,70000
France,FRA,86758000,68316473,182636
French Polynesia,PYF,199000,11858597,-5000
Gabon,GAB,1834487,77320,16301
"Gambia, The",GMB,522000,53735,-15436
Georgia,GEO,4069400,341751,-50000
Germany,DEU,37452000,114160685,2719112
Ghana,GHA,897000,681691,-50000
Greece,GRC,27194000,13852857,-80000
Guatemala,GTM,1660000,155524,-46073
Guyana,GUY,247000,26069,-30001
Honduras,HND,851000,248964,-34000
"Hong Kong SAR, China",HKG,27884000,45580297,146542
Hungary,HUN,15785000,26066294,29999
Iceland,ISL,2225000,7242611,1900
India,IND,15543000,139752424,-2663434
Indonesia,IDN,14040000,108393123,-494777
"Iran, Islamic Rep.",IRN,4867000,26858178.78,-274998
Ireland,IRL,10338000,153944513,118020
Israel,ISR,3613000,6993888,50002
Italy,ITA,58253000,26288001,744713
Jamaica,JAM,2353000,151326,-56658
Japan,JPN,28691000,123898000,357800
Jordan,JOR,3843500,3381677,51099
Kazakhstan,KAZ,7701000,6903190,-90000
Kenya,KEN,1364000,5109576,-50000
Kiribati,KIR,5800,66567,-3999
"Korea, Rep.",KOR,13336000,82818983,58657
Kuwait,KWT,7407000,5731748,197600
Kyrgyz Republic,KGZ,421000,1122951,-20000
Lao PDR,LAO,3257000,1196041,-73518
Latvia,LVA,1949000,3441024,-74186
Lebanon,LBN,1857000,2879528,-150060
Lithuania,LTU,2523000,1069268,-163902
Luxembourg,LUX,1046000,1901012,48704
"Macao SAR, China",MAC,17255000,2776815,25000
Madagascar,MDG,255000,486425,-7500
Malawi,MWI,837000,10545,-80263
Malaysia,MYS,25948000,58711937,249999
Maldives,MDV,1390000,1485752,56851
Mali,MLI,11000,0,-200000
Malta,MLT,2274000,1575125,4501
Mauritius,MUS,1342000,1674395,0
Mexico,MEX,39291000,58537832,-300000
Moldova,MDA,145000,1092606,-6935
Mongolia,MNG,469000,602775,-4262
Montenegro,MNE,1877000,507637,-2400
Morocco,MAR,11349000,8667392,-257096
Mozambique,MOZ,1447000,569211,-25000
Myanmar,MMR,3443000,3149037,-816564
Namibia,NAM,1499000,623076,-24030
Nepal,NPL,940000,2443630.512,208549
Netherlands,NLD,17924000,42763443,80000
New Caledonia,NCL,121000,11858597,2510
New Zealand,NZL,3555000,16271523,74403
Nicaragua,NIC,1787000,63933014,-106360
Niger,NER,164000,14713,20001
Nigeria,NGA,5265000,4789878,-300000
North Macedonia,MKD,631000,24813416,-4999
Norway,NOR,6252000,24813416,140000
Oman,OMN,2316000,9035230,437000
Pakistan,PAK,10304841,7260769,-1166895
Panama,PAN,1843000,11975372,56000
Papua New Guinea,PNG,139000,1864653,-3999
Paraguay,PRY,1584000,454276,-82780
Peru,PER,4032000,16094150,495345
Philippines,PHL,6621000,39341995,-335758
Poland,POL,18258000,7376512,-146976
Portugal,PRT,15432000,15937325,-30001
Puerto Rico,PRI,3513000,63933014,-489932
Qatar,QAT,2256500,29949181,200000
Romania,ROU,10926000,4423249,-369997
Russian Federation,RUS,24390000,89373638,912279
Rwanda,RWA,932000,1031957.04,-44998
Samoa,WSM,146000,81921,-14013
Saudi Arabia,SAU,16109000,37503000,674895
Senegal,SEN,1365000,21038,-100001
Serbia,SRB,1497000,2442731,20000
Seychelles,SYC,350000,633518,-1000
Sierra Leone,SLE,51000,2212046,-21000
Singapore,SGP,13903000,38094990,135142
Slovak Republic,SVK,2162000,7925,7423
Slovenia,SVN,3991000,1087075,9999
Solomon Islands,SLB,25700,427806,-7998
South Africa,ZAF,10285000,20821044,727026
Spain,ESP,81869000,71598374,200000
Sri Lanka,LKA,2116400,5403577,-489932
Sudan,SDN,813000,557792.04,-250001
Suriname,SUR,278000,284935,-4999
Sweden,SWE,7054000,24813416,200000
Switzerland,CHE,9889000,26732570,259999
Tajikistan,TJK,431000,580374,-99999
Tanzania,TZA,1275000,1221678,-200381
Thailand,THA,35592000,70704889,97222
Togo,TGO,514000,500686,-9999
Trinidad and Tobago,TTO,395000,2582961,-3999
Tunisia,TUN,7052000,3963968,-20000
Turkey,TUR,37601000,107917326,1419610
Turkmenistan,TKM,10304841,2136219,-25001
Uganda,UGA,1402000,14958,843469
Ukraine,UKR,14230000,6794396,50001
United Arab Emirates,ARE,20394000,95306195,200000
United Kingdom,GBR,37651000,151159067,1303250
United States,USA,77186740,849403000,4774029
Uruguay,URY,3674000,17596191,-15000
Uzbekistan,UZB,2690000,2581865,-44314
Vanuatu,VUT,109000,341110,600
"Venezuela, RB",VEN,427000,4209158,-3266243
Vietnam,VNM,12922000,42592762,-399999
"Yemen, Rep.",YEM,366700,132571,-150000
Zambia,ZMB,1083000,154573,-40000
Zimbabwe,ZWE,2423000,282539,-584288
